<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNL,D,20210112,000000,18.99,18.99,16.6,17.75,111809,0
UNL,D,20210113,000000,17.8,18.678,16.822,17.498,20509,0
UNL,D,20210114,000000,17.498,17.9,15.76,16.2,19658,0
UNL,D,20210115,000000,16.7,16.98,16.2,16.92,7914,0
UNL,D,20210118,000000,16.936,17.5,16.7,17.48,6996,0
UNL,D,20210119,000000,17.5,18.952,17.31,18.812,13632,0
UNL,D,20210120,000000,20,21.5,18.526,20.87,20851,0
UNL,D,20210121,000000,20.9,24.4,20.87,23.8,20288,0
UNL,D,20210122,000000,23.99,23.99,22.5,23.52,11794,0
UNL,D,20210125,000000,23.7,24.465,23.52,23.97,9558,0
UNL,D,20210126,000000,24.15,24.15,22.7,22.75,4754,0
UNL,D,20210127,000000,22.94,22.94,20.12,20.5,11647,0
UNL,D,20210128,000000,20.67,23.6,18.7,22.47,9896,0
UNL,D,20210129,000000,22.87,23.47,21.51,22.5,8203,0
UNL,D,20210201,000000,23.18,23.19,20.72,21.86,7913,0
UNL,D,20210202,000000,22.19,22.2,20.8,21.5,3391,0
UNL,D,20210203,000000,21.4,21.96,20.72,20.95,2290,0
UNL,D,20210204,000000,20.72,21.3,20.2,20.77,3434,0
UNL,D,20210205,000000,20,20.85,20,20.8,3468,0
UNL,D,20210208,000000,20.8,20.85,20,20.48,2944,0
UNL,D,20210209,000000,20.01,20.08,19.25,19.79,7490,0
UNL,D,20210210,000000,19.44,23.1,19.44,20.9,10118,0
UNL,D,20210211,000000,20.95,21.16,20.25,20.38,1304,0
UNL,D,20210212,000000,21.7,21.7,19.8,20.3,1682,0
UNL,D,20210215,000000,23,23,21,21.49,5255,0
UNL,D,20210216,000000,22,22,21.3,21.68,7534,0
UNL,D,20210217,000000,21.75,22,20.8,21.5,2603,0
UNL,D,20210218,000000,21.4,21.6,20.2,21.6,6579,0
UNL,D,20210219,000000,21.45,22,20.85,21.44,5403,0
UNL,D,20210222,000000,20.92,20.93,19.9,20.5,3396,0
UNL,D,20210223,000000,20.13,20.45,19,19.99,4255,0
UNL,D,20210224,000000,19.988,21,19.91,20.56,5768,0
UNL,D,20210225,000000,20.22,20.5,18.24,19.61,7886,0
UNL,D,20210226,000000,19.61,19.85,19,19.51,2865,0
UNL,D,20210301,000000,18.96,20.4,18.67,19.578,7685,0
UNL,D,20210302,000000,19.4,19.4,18.35,18.5,7876,0
UNL,D,20210303,000000,18.6,19.7,18.24,19.2,4591,0
UNL,D,20210304,000000,19.002,19.002,17.54,18.7,4162,0
UNL,D,20210305,000000,18.49,18.55,18,18.3,3922,0
UNL,D,20210308,000000,18.54,19.162,18.54,19.098,928,0
UNL,D,20210309,000000,19.098,19.8,19.098,19.51,3251,0
UNL,D,20210310,000000,19.56,20,19.1,19.1,5519,0
UNL,D,20210311,000000,19.44,19.75,19,19.75,1591,0
UNL,D,20210312,000000,19.05,19.998,19.05,19.998,3457,0
UNL,D,20210315,000000,20.5,20.5,19.7,20.09,2563,0
UNL,D,20210316,000000,20.09,20.6,19.9,20.25,6561,0
UNL,D,20210317,000000,20.59,21,19.77,19.8,4344,0
UNL,D,20210318,000000,20.1,20.5,19,19.8,4135,0
UNL,D,20210319,000000,19.8,21,19.3,21,5230,0
UNL,D,20210322,000000,20.98,22.9,20.2,21.86,7384,0
UNL,D,20210323,000000,21.82,22.68,20.62,22.4,3644,0
UNL,D,20210324,000000,22.1,22.22,21.02,21.5,3250,0
UNL,D,20210325,000000,20.72,21.885,20.5,21.8,2153,0
UNL,D,20210326,000000,21.3,21.885,20.655,20.655,2999,0
UNL,D,20210329,000000,21.18,21.38,20.7,21,1299,0
UNL,D,20210330,000000,21.28,21.53,20.62,21,1839,0
UNL,D,20210331,000000,21.29,21.57,20.4,20.4,1140,0
UNL,D,20210401,000000,20.935,21.2,20.4,20.5,852,0
UNL,D,20210406,000000,21.28,21.28,20,20.395,1384,0
UNL,D,20210407,000000,20,20,19.05,19.72,3397,0
UNL,D,20210408,000000,19.718,20.295,19.2,19.93,1758,0
UNL,D,20210409,000000,19.9,20.25,19.32,20.2,1599,0
UNL,D,20210412,000000,20.2,20.2,19.604,19.604,359,0
UNL,D,20210413,000000,20,20,19.13,19.2,734,0
UNL,D,20210414,000000,19.6,19.6,19.05,19.58,1171,0
UNL,D,20210415,000000,19.11,19.9,19.11,19.9,250,0
UNL,D,20210416,000000,19.87,19.87,19.15,19.15,217,0
UNL,D,20210419,000000,19.06,19.7,18.72,19,735,0
UNL,D,20210420,000000,18.72,19.1,18.72,19.06,223,0
UNL,D,20210421,000000,19,19,19,19,218,0
UNL,D,20210422,000000,18.99,19,18.6,18.9,708,0
UNL,D,20210423,000000,18.948,18.948,18,18,1395,0
UNL,D,20210426,000000,18.4,18.4,17.32,17.95,1840,0
UNL,D,20210427,000000,17.948,19.158,17.94,19.158,1056,0
UNL,D,20210428,000000,19.24,19.5,19,19,256,0
